Title,Comment,publishedTimeText
Volkswagen Polo 2019 vs Ford Fiesta 2019 - see which is the best small car! | carwow,Bro completely forgot about the Peugeot 208,2 months ago
Volkswagen Polo 2019 vs Ford Fiesta 2019 - see which is the best small car! | carwow,how can the car critics sa Ford RATING is better than VOLKSWAGEN?,2 months ago
Volkswagen Polo 2019 vs Ford Fiesta 2019 - see which is the best small car! | carwow,VW is obviously paying this review.,5 months ago
Volkswagen Polo 2019 vs Ford Fiesta 2019 - see which is the best small car! | carwow,Honestly nothing compares to the Polo,7 months ago
Volkswagen Polo 2019 vs Ford Fiesta 2019 - see which is the best small car! | carwow,Well if you South Africa you will get hijacled or killed for ir polo,7 months ago
Volkswagen Polo 2019 vs Ford Fiesta 2019 - see which is the best small car! | carwow,I love the fiesta better looking,1 year ago
Volkswagen Polo 2019 vs Ford Fiesta 2019 - see which is the best small car! | carwow,"Yeah the polo is better overall, but it looks like a shoebox",1 year ago
Volkswagen Polo 2019 vs Ford Fiesta 2019 - see which is the best small car! | carwow,To me the Polo looks superior in its design. Both interior and exterior.,1 year ago
Volkswagen Polo 2019 vs Ford Fiesta 2019 - see which is the best small car! | carwow,just brought a VW Polo after much sadness of letting og of 2018 Active fully loaded Vaxhall Corsa very good car all round !!!exelllent super smooth 1.4LT engine ... Never owned a German car so this is new teritory  did lots of resarching of small cars to nail it down to to cars one was the wv polo after a short test drive . Next time i buy nealy new car i want to try have it over night .,1 year ago
Volkswagen Polo 2019 vs Ford Fiesta 2019 - see which is the best small car! | carwow,I miss and prefer more reviews on these type of cars most people actually buy - where most of us come to take advise from.,1 year ago
Volkswagen Polo 2019 vs Ford Fiesta 2019 - see which is the best small car! | carwow,Or get a Mazda 2 and get 55mpg from a smooth 1.5L,1 year ago
Volkswagen Polo 2019 vs Ford Fiesta 2019 - see which is the best small car! | carwow,The only thing that irritates me about the Polo's is most of their engines are piss poor. I looked at one when buying my second car then saw 60hp i mean 60! I can get more in an Alto. Then said the baseline Zetec Fiesta's aren't that much different.,1 year ago
Volkswagen Polo 2019 vs Ford Fiesta 2019 - see which is the best small car! | carwow,"4 years later the Fiesta is dead and rumors that the Polo might be.
Hard to make profits on these cars I guess.",1 year ago
Volkswagen Polo 2019 vs Ford Fiesta 2019 - see which is the best small car! | carwow,Rip queeny,1 year ago
Volkswagen Polo 2019 vs Ford Fiesta 2019 - see which is the best small car! | carwow,I will only buy a Ford Fiesta.,1 year ago
Volkswagen Polo 2019 vs Ford Fiesta 2019 - see which is the best small car! | carwow,Dacia sandero thank you,1 year ago
Volkswagen Polo 2019 vs Ford Fiesta 2019 - see which is the best small car! | carwow,squidgy plastics...bring back wood veneer and chrome.,1 year ago (edited)
Volkswagen Polo 2019 vs Ford Fiesta 2019 - see which is the best small car! | carwow,Feck off,2 years ago
Volkswagen Polo 2019 vs Ford Fiesta 2019 - see which is the best small car! | carwow,"You never mention the engine/road noise, rarely mention whether the seat has any support. But I always know with amazing precision how cheap the interior plastic feels to touch and whether the rear windows go all the way down.
Ps. don't bother with the horn test idea. That's just more filler. Only that one bloke cares.",2 years ago
Volkswagen Polo 2019 vs Ford Fiesta 2019 - see which is the best small car! | carwow,"I bought the Fiesta. Tried both but thought the Ford was just more fun to drive and also looked more exciting! 

Super happy with the Fiesta! Love this car!",2 years ago
Why is it NOW or NEVER to buy a 2019 Ford Fiesta ST?,You can make that a rocket you can tune that with a stage 2 cob and run 320 hp,5 months ago
Why is it NOW or NEVER to buy a 2019 Ford Fiesta ST?,Question did this feista st have a factory lsd since it was the last year?,10 months ago
Why is it NOW or NEVER to buy a 2019 Ford Fiesta ST?,"Hi, you are the reason I have purchased a 2019 Ford Fiesta ST. Thank you?",1 year ago
Why is it NOW or NEVER to buy a 2019 Ford Fiesta ST?,Any changes minor or major mechanically between 2018 and 2019 models?,1 year ago
Why is it NOW or NEVER to buy a 2019 Ford Fiesta ST?,"great video..  considering buying one of them, and while doing some research, found your video.  thanks for the info.",1 year ago
Why is it NOW or NEVER to buy a 2019 Ford Fiesta ST?,Good Day Sir....love all of your work and Your wife is a fantastic videographer.....One question.....How can I find a 2 door 2019 Ford Fiesta St?,1 year ago (edited)
Why is it NOW or NEVER to buy a 2019 Ford Fiesta ST?,joe haha wtf dude mk8 fiesta st maybe has all the new things but its not so fun to drive believe me i live in belgium,1 year ago
Why is it NOW or NEVER to buy a 2019 Ford Fiesta ST?,only manual transmission option for the ST Turbo model?,2 years ago
Why is it NOW or NEVER to buy a 2019 Ford Fiesta ST?,How do I knw which model years ot packages come with the LSD?,2 years ago
Why is it NOW or NEVER to buy a 2019 Ford Fiesta ST?,AWESOME! Mine is coming Friday from Carvana!!,2 years ago
